Input Frequency,Output Frequency (Hz),Fmin (Hz),Fmax (Hz),Amplitude,Amin,Amax,Aunits
850,851.3,848.8,854.7,532,522,546,mV
855,855.6,854.4,857.7,608,590,614,mV
860,860.6,860.1,862.5,630,622,636,mV
865,865.5,863.5,868.2,728,716,736,mV
870,870.2,869.3,872.2,836,818,852,mV
875,875.4,874.1,876.6,940,936,952,mV
880,879.2,878.8,881.2,0.98,0.972,1,V
885,885.6,884.3,886.3,0.992,0.98,1.01,V
890,889.2,888.4,891.6,0.99,0.96,1.01,V
895,895.8,893.6,896.8,0.96,0.94,0.96,V
900,900.1,897.6,900.5,904,870,912,mV
905,905.6,902.3,907.2,784,784,792,mV
910,910.3,909.1,911.2,640,634,662,mV
915,915.9,912.1,916.7,564,552,572,mV
