Temperature 1 (K),Temperature 2 (K),Temperature 3 (K),Uncertainty (K),Time (s)
347.4,350.4,354.15,2.25,175
347.9,350.4,354.15,2.25,176
347.9,350.4,354.15,2.25,177
347.4,350.15,354.65,2.25,178
347.65,350.65,353.9,2.25,179
347.4,350.65,354.65,2.25,180
347.15,350.4,354.4,2.25,181
347.15,350.4,354.4,2.25,182
347.4,350.4,354.15,2.25,183
347.4,350.4,353.9,2.25,184
347.65,350.4,354.4,2.25,185
347.4,350.65,354.4,2.25,186
347.4,349.9,353.9,2.25,187
347.4,350.4,354.4,2.25,188
347.4,350.4,353.9,2.25,189
347.15,349.9,353.65,2.25,190
347.4,350.15,354.15,2.25,191
347.15,350.15,353.9,2.25,192
347.15,350.15,354.4,2.25,193
347.15,350.4,354.15,2.25,194
347.15,350.4,354.15,2.25,195
347.15,350.4,354.15,2.25,196
347.15,350.65,353.9,2.25,197
346.9,350.4,353.65,2.25,198
346.65,350.15,353.9,2.25,199
346.65,350.15,354.15,2.25,200
347.15,350.15,354.15,2.25,201
346.9,350.4,353.9,2.25,202
346.9,350.15,354.15,2.25,203
346.65,349.65,354.15,2.25,204
346.65,350.4,354.15,2.25,205
347.65,350.15,353.9,2.25,206
346.4,350.4,354.15,2.25,207
344.15,350.65,354.15,2.25,208
344.4,350.9,353.9,2.25,209
344.4,350.65,353.9,2.25,210
344.15,350.65,354.4,2.25,211
344.15,350.65,353.9,2.25,212
344.4,350.9,353.9,2.25,213
344.15,350.9,353.9,2.25,214
344.15,350.65,353.9,2.25,215
344.15,350.65,353.9,2.25,216
344.15,350.65,353.9,2.25,217
343.9,350.65,353.9,2.25,218
345.15,350.4,354.15,2.25,219
347.15,349.65,352.9,2.25,220
346.9,349.65,353.15,2.25,221
346.4,349.65,353.65,2.25,222
346.9,349.15,353.4,2.25,223
346.9,349.65,352.65,2.25,224
346.65,349.4,353.4,2.25,225
346.4,349.4,353.15,2.25,226
346.65,349.4,352.65,2.25,227
346.65,349.4,353.15,2.25,228
345.65,349.9,352.9,2.25,229
346.15,349.15,352.9,2.25,230
345.65,349.65,351.4,2.25,231
345.65,349.65,351.4,2.25,232
345.9,349.65,350.9,2.25,233
345.65,349.9,350.65,2.25,234
345.15,349.4,350.9,2.25,235
345.4,349.9,350.65,2.25,236
345.65,349.4,350.65,2.25,237
345.15,349.4,351.15,2.25,238
345.65,349.65,351.15,2.25,239
345.15,349.15,350.15,2.25,240
344.9,349.4,350.65,2.25,241
345.4,349.4,350.65,2.25,242
345.15,349.4,350.9,2.25,243
345.4,349.65,349.9,2.25,244
344.9,349.15,349.9,2.25,245
344.9,348.9,350.4,2.25,246
345.15,349.15,350.65,2.25,247
345.15,349.15,350.65,2.25,248
344.65,348.65,351.4,2.25,249
344.9,348.9,352.4,2.25,250
344.9,348.65,352.65,2.25,251
344.9,349.4,352.15,2.25,252
344.9,348.65,352.65,2.25,253
344.9,348.9,352.15,2.25,254
344.65,349.15,352.65,2.25,255
344.65,348.4,352.15,2.25,256
344.65,348.9,351.9,2.25,257
344.4,348.4,351.9,2.25,258
344.15,348.65,352.65,2.25,259
344.15,348.4,352.65,2.25,260
343.9,348.9,352.4,2.25,261
345.15,348.4,351.9,2.25,262
345.15,348.15,352.15,2.25,263
344.9,348.15,352.15,2.25,264
345.15,348.15,351.9,2.25,265
344.9,348.15,352.15,2.25,266
344.65,348.15,352.15,2.25,267
344.9,347.9,351.9,2.25,268
344.15,348.15,351.4,2.25,269
344.4,347.9,351.65,2.25,270
344.65,348.15,351.65,2.25,271
344.9,348.15,352.15,2.25,272
344.65,348.15,351.9,2.25,273
344.65,348.15,351.65,2.25,274
344.4,348.15,351.4,2.25,275
344.65,348.15,351.9,2.25,276
344.65,348.4,351.9,2.25,277
344.65,347.9,351.9,2.25,278
344.4,348.15,351.9,2.25,279
343.9,347.15,351.4,2.25,280
343.9,347.65,351.15,2.25,281
344.15,348.4,350.15,2.25,282
343.9,348.4,350.9,2.25,283
343.4,347.65,350.9,2.25,284
342.9,347.65,351.4,2.25,285
342.9,346.9,351.4,2.25,286
343.65,346.9,351.65,2.25,287
343.4,347.4,351.65,2.25,288
343.4,347.9,351.65,2.25,289
343.4,347.65,351.9,2.25,290
343.9,347.9,351.65,2.25,291
342.9,347.65,351.9,2.25,292
342.15,347.4,351.4,2.25,293
342.65,347.4,351.4,2.25,294
344.15,347.9,352.15,2.25,295
343.9,347.4,352.15,2.25,296
343.4,347.65,351.9,2.25,297
343.9,347.9,351.9,2.25,298
343.9,348.4,351.65,2.25,299
343.9,347.9,351.9,2.25,300
343.4,347.4,351.4,2.25,301
343.15,348.15,351.4,2.25,302
343.65,347.9,352.15,2.25,303
343.15,347.15,351.15,2.25,304
343.15,347.4,350.9,2.25,305
342.9,347.9,351.15,2.25,306
343.65,347.9,351.65,2.25,307
343.15,347.9,351.65,2.25,308
342.9,347.9,351.65,2.25,309
342.15,347.9,351.65,2.25,310
342.65,347.4,351.4,2.25,311
341.65,347.9,351.4,2.25,312
340.15,347.65,351.15,2.25,313
340.65,347.9,350.9,2.25,314
340.15,347.15,351.15,2.25,315
338.15,346.4,350.9,2.25,316
338.65,346.65,350.9,2.25,317
338.15,346.15,350.9,2.25,318
338.9,346.9,350.65,2.25,319
339.65,347.15,350.65,2.25,320
339.65,346.15,350.9,2.25,321
338.15,344.65,350.65,2.25,322
339.9,344.9,350.4,2.25,323
338.4,343.9,350.4,2.25,324
337.9,344.15,350.65,2.25,325
338.65,343.9,350.4,2.25,326
338.9,343.9,350.4,2.25,327
339.15,344.15,350.4,2.25,328
339.15,344.15,350.9,2.25,329
339.15,343.9,350.9,2.25,330
339.15,344.15,350.15,2.25,331
338.9,343.65,350.9,2.25,332
339.15,343.9,350.4,2.25,333
338.9,343.65,350.65,2.25,334
338.65,343.9,350.9,2.25,335
338.15,343.65,350.4,2.25,336
339.65,344.9,350.4,2.25,337
340.15,344.65,350.9,2.25,338
340.65,344.15,350.4,2.25,339
340.65,344.4,350.4,2.25,340
338.9,343.15,350.15,2.25,341
339.15,343.9,350.4,2.25,342
340.15,343.9,350.4,2.25,343
340.9,343.4,350.9,2.25,344
340.65,343.9,350.65,2.25,345
340.65,343.9,350.65,2.25,346
340.15,343.15,349.9,2.25,347
340.4,343.9,350.9,2.25,348
340.65,343.4,350.15,2.25,349
340.65,343.15,350.4,2.25,350
340.65,343.65,350.15,2.25,351
340.65,343.65,350.4,2.25,352
340.15,343.9,350.9,2.25,353
340.15,343.65,350.4,2.25,354
340.4,343.9,350.4,2.25,355
340.4,343.9,350.4,2.25,356
340.4,344.15,349.9,2.25,357
340.4,343.9,350.15,2.25,358
340.4,344.15,350.15,2.25,359
340.15,344.15,350.4,2.25,360
340.4,343.9,350.4,2.25,361
340.15,343.4,349.9,2.25,362
339.9,343.65,349.65,2.25,363
340.15,343.4,350.4,2.25,364
340.4,343.65,349.9,2.25,365
340.4,343.65,350.4,2.25,366
340.4,343.9,350.4,2.25,367
340.4,343.9,350.15,2.25,368
340.15,343.15,349.9,2.25,369
339.9,343.9,350.4,2.25,370
340.15,343.4,349.9,2.25,371
340.15,343.65,349.65,2.25,372
340.15,343.65,349.65,2.25,373
340.15,343.65,349.9,2.25,374
339.9,343.65,349.9,2.25,375
340.15,343.9,349.9,2.25,376
339.9,343.65,349.9,2.25,377
340.15,344.15,349.9,2.25,378
339.9,343.65,349.65,2.25,379
339.9,343.9,349.65,2.25,380
339.65,343.9,349.65,2.25,381
339.65,343.65,349.9,2.25,382
339.65,343.9,349.9,2.25,383
339.65,343.4,349.65,2.25,384
339.65,343.4,349.4,2.25,385
339.65,343.4,349.9,2.25,386
339.65,343.4,349.65,2.25,387
339.65,343.4,349.4,2.25,388
339.65,343.9,349.4,2.25,389
339.15,343.65,348.9,2.25,390
339.9,343.4,348.9,2.25,391
339.65,343.15,349.4,2.25,392
339.4,343.4,349.4,2.25,393
339.15,343.4,349.4,2.25,394
339.15,343.4,349.15,2.25,395
338.9,343.65,349.15,2.25,396
338.9,343.65,349.4,2.25,397
339.15,342.9,348.65,2.25,398
339.15,343.4,348.9,2.25,399
338.9,343.4,348.65,2.25,400
338.9,343.4,348.9,2.25,401
338.9,342.9,348.4,2.25,402
338.4,343.65,348.9,2.25,403
339.15,343.65,349.15,2.25,404
338.9,343.4,349.15,2.25,405
338.65,343.65,348.9,2.25,406
338.9,343.4,348.9,2.25,407
338.9,343.15,348.4,2.25,408
338.4,343.15,348.4,2.25,409
338.65,343.4,348.4,2.25,410
338.65,343.15,348.65,2.25,411
338.15,343.4,348.4,2.25,412
338.4,343.4,348.65,2.25,413
338.4,342.65,348.15,2.25,414
338.65,342.4,348.65,2.25,415
338.65,342.9,348.4,2.25,416
338.65,343.4,348.4,2.25,417
338.65,343.15,347.9,2.25,418
338.4,343.4,347.9,2.25,419
338.4,343.15,348.4,2.25,420
338.4,342.4,348.15,2.25,421
338.15,342.9,348.15,2.25,422
338.4,342.65,348.15,2.25,423
338.4,343.15,348.4,2.25,424
337.9,342.9,347.65,2.25,425
338.4,343.15,348.15,2.25,426
338.15,343.15,348.15,2.25,427
337.9,342.9,347.9,2.25,428
338.4,342.65,347.65,2.25,429
338.15,342.65,347.9,2.25,430
337.65,343.15,348.15,2.25,431
337.9,343.15,347.9,2.25,432
337.9,342.9,347.9,2.25,433
337.9,343.15,348.15,2.25,434
337.65,343.15,348.15,2.25,435
337.9,342.65,347.9,2.25,436
337.9,342.4,347.65,2.25,437
337.4,343.15,347.9,2.25,438
337.65,342.4,347.65,2.25,439
337.9,342.65,347.65,2.25,440
337.65,342.9,347.15,2.25,441
337.4,342.9,347.65,2.25,442
337.65,342.4,347.65,2.25,443
337.65,342.9,347.9,2.25,444
337.65,342.65,347.65,2.25,445
337.65,342.4,347.65,2.25,446
337.15,342.4,347.65,2.25,447
337.65,342.4,347.65,2.25,448
337.15,342.65,347.65,2.25,449
337.4,342.65,346.9,2.25,450
336.9,342.15,347.65,2.25,451
337.4,342.15,347.15,2.25,452
337.4,342.65,347.65,2.25,453
337.4,342.15,347.4,2.25,454
337.4,342.4,347.15,2.25,455
337.4,342.65,347.4,2.25,456
337.4,342.4,347.4,2.25,457
337.15,342.15,347.4,2.25,458
337.15,341.9,347.15,2.25,459
337.15,342.15,347.15,2.25,460
337.15,342.4,347.15,2.25,461
336.65,342.15,347.65,2.25,462
336.9,342.15,347.15,2.25,463
337.15,341.9,347.4,2.25,464
336.65,342.15,347.15,2.25,465
336.65,341.65,346.65,2.25,466
336.4,341.4,346.65,2.25,467
336.9,341.4,346.9,2.25,468
336.9,342.15,347.15,2.25,469
336.9,341.4,346.65,2.25,470
336.4,341.9,346.9,2.25,471
336.4,341.9,346.4,2.25,472
336.15,341.65,346.9,2.25,473
335.9,341.9,346.9,2.25,474
336.4,341.65,346.65,2.25,475
336.4,341.4,346.4,2.25,476
336.4,341.65,346.4,2.25,477
336.4,341.15,346.15,2.25,478
335.9,341.65,346.4,2.25,479
