Temperature 1 (K),Temperature 2 (K),Temperature 3 (K),Uncertainty (K),Time (s)
336.65,336.9,339.15,2.25,0.0
336.65,337.4,339.4,2.25,0.25
335.9,337.4,339.15,2.25,0.5
336.65,336.65,338.9,2.25,0.75
336.65,336.65,339.4,2.25,1.0
337.4,337.15,341.15,2.25,1.25
336.15,336.9,338.65,2.25,1.5
336.15,337.15,339.4,2.25,1.75
336.15,336.9,338.9,2.25,2.0
336.15,336.9,338.9,2.25,2.25
335.65,336.9,338.65,2.25,2.5
336.15,336.9,339.15,2.25,2.75
335.9,336.9,338.9,2.25,3.0
335.65,336.4,338.9,2.25,3.25
336.15,336.4,338.65,2.25,3.5
335.4,336.65,338.4,2.25,3.75
335.65,336.9,338.4,2.25,4.0
335.9,336.65,338.15,2.25,4.25
335.65,336.4,338.15,2.25,4.5
335.9,336.65,337.9,2.25,4.75
335.65,336.65,337.9,2.25,5.0
335.65,336.65,337.9,2.25,5.25
335.15,336.4,338.15,2.25,5.5
335.4,336.4,337.9,2.25,5.75
335.9,336.65,337.65,2.25,6.0
336.15,336.65,338.4,2.25,6.25
335.15,336.4,338.4,2.25,6.5
335.9,336.65,338.4,2.25,6.75
335.4,336.65,338.4,2.25,7.0
335.15,336.9,337.9,2.25,7.25
335.9,336.9,338.9,2.25,7.5
335.9,336.65,338.65,2.25,7.75
335.4,336.9,338.65,2.25,8.0
336.15,336.4,338.65,2.25,8.25
335.4,336.65,337.9,2.25,8.5
335.15,336.4,338.15,2.25,8.75
335.4,336.4,338.4,2.25,9.0
335.9,336.4,337.9,2.25,9.25
335.9,336.4,337.65,2.25,9.5
335.65,335.9,338.4,2.25,9.75
335.9,336.4,338.4,2.25,10.0
335.9,336.15,338.4,2.25,10.25
335.9,336.4,338.15,2.25,10.5
335.9,336.65,338.4,2.25,10.75
335.65,336.4,337.9,2.25,11.0
335.9,336.4,337.9,2.25,11.25
335.4,336.4,338.4,2.25,11.5
335.9,336.4,338.15,2.25,11.75
335.4,336.4,338.15,2.25,12.0
335.15,336.15,337.9,2.25,12.25
335.9,336.4,338.15,2.25,12.5
335.15,336.4,337.9,2.25,12.75
335.15,336.4,338.15,2.25,13.0
334.9,336.4,338.15,2.25,13.25
335.65,336.15,337.9,2.25,13.5
335.15,336.15,337.65,2.25,13.75
335.15,336.15,338.15,2.25,14.0
335.65,335.9,337.9,2.25,14.25
334.9,336.4,338.15,2.25,14.5
335.15,336.4,337.9,2.25,14.75
335.65,336.65,337.9,2.25,15.0
335.4,336.15,338.15,2.25,15.25
335.4,336.15,337.65,2.25,15.5
335.15,336.15,338.15,2.25,15.75
335.4,335.9,337.9,2.25,16.0
335.15,336.15,337.9,2.25,16.25
335.4,336.15,337.65,2.25,16.5
335.4,335.9,338.15,2.25,16.75
335.4,336.15,337.4,2.25,17.0
335.65,336.15,338.15,2.25,17.25
334.9,336.15,338.15,2.25,17.5
334.9,336.15,337.9,2.25,17.75
334.9,336.65,337.65,2.25,18.0
335.15,336.15,338.15,2.25,18.25
335.4,336.4,338.15,2.25,18.5
334.9,335.9,337.65,2.25,18.75
335.4,335.9,338.15,2.25,19.0
334.9,336.15,338.15,2.25,19.25
334.9,336.15,337.9,2.25,19.5
334.9,336.15,337.65,2.25,19.75
335.15,335.9,337.9,2.25,20.0
335.15,336.4,337.9,2.25,20.25
334.9,336.15,337.4,2.25,20.5
335.15,335.9,337.65,2.25,20.75
335.15,336.15,337.9,2.25,21.0
334.9,336.15,337.65,2.25,21.25
335.15,335.9,337.9,2.25,21.5
335.4,336.15,337.4,2.25,21.75
334.9,336.15,337.9,2.25,22.0
334.65,336.15,337.4,2.25,22.25
334.9,335.4,337.9,2.25,22.5
334.9,335.65,337.9,2.25,22.75
334.65,336.15,337.4,2.25,23.0
335.15,335.9,337.65,2.25,23.25
334.9,335.65,337.4,2.25,23.5
